event_id,fire_year,year,fitted_nbr
CA4122712136220140731,2014,1999,-0.17867756762735057
CA3745411858420150206,2015,1999,-0.012978994571116068
CA4016812363920150730,2015,1999,-0.2889562240502917
CA3779911892220160804,2016,1999,-0.08492856605135254
CA3436911855620160709,2016,1999,-0.05113443343921614
CA4145212338020170811,2017,1999,-0.30429782353796053
CA3589912026320170710,2017,1999,-0.08022344856392012
CA3906012314020180727,2018,1999,-0.18286514681098004
CA3511712010020180819,2018,1999,-0.03244439264146333
CA3892812226620190608,2019,1999,-0.1365823920741832
CA3433711905320191031,2019,1999,-0.035029657837767056
CA4185812335420200908,2020,1999,-0.28572965713267284
CA3375311768720201026,2020,1999,-0.017742661353361795
CA4156412340420210801,2021,1999,-0.25998565801781054
CA3658211879520210912,2021,1999,-0.20192738346956665
CA3633311865120220803,2022,1999,-0.11998006176409631
CA4090712359920220805,2022,1999,-0.3248648038466849
CA3389011707120230714,2023,1999,0.08744464874207936
CA3806111999220230909,2023,1999,-0.16714070496998745
CA3589912013419840525,1984,2000,0.006073926034580006
CA3631411886919840821,1984,2000,-0.1649071769543062
CA4095612245219850718,1985,2000,-0.22047161629531012
CA4059212068919850708,1985,2000,-0.038354774014529504
CA3665912086319860602,1986,2000,0.02413351626483792
CA3389911714619860529,1986,2000,0.060786996574710254
CA4184912355119870830,1987,2000,-0.17621197546745382
CA3600012102719870707,1987,2000,-0.07854975622383606
CA3362611673419880602,1988,2000,-0.056506040380177126
CA3879412296619880824,1988,2000,-0.15242212606523514
CA3407511899419891029,1989,2000,-0.07155085827353036
CA3464911838419890628,1989,2000,-0.09439392596253411
CA4033912181119900809,1990,2000,-0.1010186509099124
CA3305811714419900910,1990,2000,-0.008964434908120942
CA3655211908319910922,1991,2000,-0.06456814513199838
CA3876512278719911020,1991,2000,-0.22273187551414703
CA3592712121419920821,1992,2000,0.007704703815348788
CA3622012145819920801,1992,2000,-0.12802349924677728
CA3411411897719931026,1993,2000,-0.08174888117815418
